Order,Missile_B,Launcher_B,Target_B
1,1030E,10E,105
2,1100B,10B,106 DE DA-P
3,110A,10A,10C
4,120A,10A,10C
5,1250B,10B,109
6,1250E,10E,10C
7,1EF07,107,109
8,204,104,10C
9,2250E,10E,105
10,24404,104,108
11,24410,110,105 DE DA-P
12,2690E,10E,109
13,27B0E,10E,108
14,290A,10A,10C
15,2A407,107,10F LOST
16,2A410,110,10F DE DA-P
17,2BB04,104,108
18,2BB0B,10B,108
19,2EA0B,10B,109 DE DA-P
20,2EE10,110,109
21,2F50B,10B,109 LOST
22,30110,110,10C
23,32004,104,10C DE DA-P
24,3250B,10B,10C LOST
25,360B,10B,109
26,4F0A,MAY NOT AIR,108 DA-P
27,707,107,106
28,7D0A,MAY NOT AIR,108 LOST
29,7E0A,MAY NOT AIR,108 LOST
30,8910,110,10C
31,B004,104,105
32,B010,110,105
33,DF0E,10E,106
34,E607,107,106 LOST
